0 0 40 29
1 0 17 20
2 0 0 20
3 0 13 10
4 0 40 15
5 0 40 18
6 0 40 15
7 0 26 6
8 0 25 19
0 1 40 28
1 1 16 20
2 1 0 20
3 1 13 9
4 1 40 16
5 1 40 17
6 1 40 14
7 1 26 5
8 1 25 19
0 2 40 27
1 2 15 20
2 2 1 20
3 2 13 8
4 2 40 16
5 2 40 15
6 2 40 13
7 2 26 4
8 2 24 19
0 3 40 26
1 3 14 20
2 3 2 20
3 3 13 7
4 3 40 17
5 3 40 14
6 3 40 12
7 3 26 3
8 3 23 20
0 4 40 26
1 4 12 20
2 4 3 20
3 4 13 7
4 4 40 17
5 4 40 13
6 4 40 11
7 4 26 3
8 4 22 19
0 5 40 25
1 5 11 20
2 5 4 20
3 5 13 6
4 5 40 18
5 5 40 12
6 5 40 11
7 5 26 2
8 5 21 20
0 6 40 24
1 6 10 20
2 6 5 20
3 6 13 5
4 6 40 19
5 6 40 11
6 6 40 10
7 6 26 1
8 6 20 19
0 7 40 23
1 7 8 20
2 7 6 20
3 7 13 4
4 7 40 19
5 7 40 10
6 7 40 9
7 7 26 0
8 7 20 19
0 8 40 23
1 8 7 20
2 8 7 20
3 8 13 4
4 8 40 20
5 8 40 9
6 8 40 8
7 8 25 0
8 8 19 20
0 9 40 22
1 9 6 20
2 9 8 20
3 9 13 3
4 9 40 20
5 9 40 8
6 9 40 7
7 9 24 0
8 9 18 19
0 10 40 21
1 10 5 20
2 10 9 20
3 10 13 2
4 10 40 21
5 10 40 7
6 10 40 6
7 10 23 0
8 10 17 20
0 11 40 20
1 11 3 20
2 11 10 20
3 11 13 1
4 11 40 21
5 11 40 6
6 11 40 6
7 11 22 0
8 11 16 19
0 12 40 20
1 12 2 20
2 12 11 20
3 12 13 1
4 12 40 22
5 12 40 5
6 12 40 5
7 12 21 0
8 12 16 19
0 13 40 19
1 13 1 20
2 13 12 20
3 13 13 0
4 13 40 23
5 13 40 4
6 13 40 4
7 13 20 0
8 13 15 20
0 14 40 18
1 14 0 20
2 14 13 20
3 14 12 0
4 14 40 23
5 14 40 3
6 14 40 3
7 14 19 0
8 14 14 20
0 15 40 18
1 15 0 21
2 15 14 20
3 15 12 0
4 15 40 24
5 15 40 2
6 15 40 2
7 15 18 0
8 15 13 20
0 16 40 17
1 16 0 22
2 16 15 20
3 16 11 0
4 16 40 24
5 16 40 1
6 16 40 2
7 16 17 0
8 16 12 20
0 17 40 16
1 17 0 24
2 17 16 20
3 17 10 0
4 17 40 25
5 17 40 0
6 17 40 1
7 17 16 0
8 17 12 20
0 18 40 15
1 18 0 25
2 18 17 20
3 18 9 0
4 18 40 25
5 18 38 0
6 18 40 0
7 18 15 0
8 18 11 20
0 19 40 15
1 19 0 26
2 19 18 20
3 19 9 0
4 19 40 26
5 19 37 0
6 19 39 0
7 19 14 0
8 19 10 20
0 20 40 14
1 20 0 27
2 20 19 20
3 20 8 0
4 20 40 27
5 20 36 0
6 20 38 0
7 20 14 0
8 20 9 20
0 21 40 13
1 21 0 29
2 21 20 20
3 21 7 0
4 21 40 27
5 21 35 0
6 21 37 0
7 21 13 0
8 21 8 20
0 22 40 12
1 22 0 30
2 22 21 20
3 22 6 0
4 22 40 28
5 22 34 0
6 22 37 0
7 22 13 1
8 22 8 20
0 23 40 12
1 23 0 31
2 23 22 20
3 23 6 0
4 23 40 28
5 23 33 0
6 23 36 0
7 23 13 2
8 23 7 20
0 24 40 11
1 24 0 33
2 24 23 20
3 24 5 0
4 24 40 29
5 24 32 0
6 24 35 0
7 24 13 3
8 24 6 20
0 25 40 10
1 25 0 34
2 25 24 20
3 25 4 0
4 25 40 30
