0 0 30 40
1 0 26 17
2 0 0 22
3 0 0 22
4 0 13 21
5 0 39 20
0 1 29 40
1 1 26 16
2 1 0 21
3 1 0 23
4 1 13 20
5 1 40 20
0 2 28 40
1 2 26 15
2 2 0 20
3 2 0 24
4 2 12 20
5 2 40 21
0 3 28 40
1 3 26 14
2 3 0 20
3 3 0 25
4 3 11 20
5 3 40 22
0 4 27 40
1 4 26 14
2 4 0 20
3 4 0 26
4 4 10 20
5 4 40 23
0 5 27 40
1 5 26 13
2 5 1 19
3 5 0 27
4 5 9 20
5 5 40 24
0 6 26 40
1 6 26 12
2 6 2 20
3 6 0 28
4 6 8 20
5 6 40 25
0 7 25 40
1 7 26 12
2 7 2 20
3 7 0 29
4 7 7 20
5 7 40 26
0 8 25 40
1 8 26 11
2 8 3 20
3 8 0 30
4 8 6 20
5 8 40 27
0 9 24 40
1 9 26 10
2 9 4 20
3 9 0 31
4 9 5 20
5 9 40 27
0 10 23 40
1 10 26 9
2 10 4 20
3 10 0 32
4 10 4 20
5 10 40 28
0 11 23 40
1 11 26 9
2 11 5 20
3 11 0 33
4 11 3 20
5 11 40 29
0 12 22 40
1 12 26 8
2 12 6 20
3 12 0 34
4 12 2 20
5 12 40 30
0 13 22 40
1 13 26 7
2 13 6 20
3 13 0 35
4 13 1 20
5 13 40 31
0 14 21 40
1 14 26 6
2 14 7 20
3 14 0 36
4 14 0 20
5 14 40 32
0 15 20 40
1 15 26 6
2 15 8 20
3 15 0 37
4 15 0 20
5 15 40 33
0 16 18 40
1 16 26 5
2 16 9 20
3 16 0 38
4 16 0 21
5 16 40 33
0 17 17 40
1 17 26 4
2 17 9 20
3 17 0 39
4 17 0 22
5 17 40 34
0 18 16 40
1 18 26 3
2 18 10 20
3 18 0 40
4 18 0 23
5 18 40 35
0 19 14 40
1 19 26 3
2 19 11 20
3 19 0 40
4 19 0 24
5 19 40 36
0 20 13 40
1 20 26 2
2 20 11 20
3 20 1 40
4 20 0 25
5 20 40 37
0 21 12 40
1 21 26 1
2 21 12 20
3 21 2 40
4 21 0 26
5 21 40 38
0 22 11 40
1 22 26 0
2 22 13 20
3 22 3 40
4 22 0 26
5 22 40 38
0 23 9 40
1 23 26 0
2 23 13 20
3 23 4 40
4 23 0 27
5 23 40 39
0 24 8 40
1 24 26 0
2 24 14 20
3 24 5 40
4 24 0 28
5 24 39 40
0 25 7 40
1 25 25 0
2 25 15 20
3 25 6 40
4 25 0 29
5 25 38 40
0 26 6 40
1 26 24 0
2 26 16 20
3 26 6 40
4 26 0 30
5 26 37 40
0 27 4 40
1 27 23 0
2 27 16 20
